,나이대,년도,비만유병률,복부비만,높은혈압,높은혈당,고중성지방혈증,낮은 HDL 콜레스테롤 혈증,주의군,대사증후군,정상,매일섭취,주 2~3회섭취,주 1회섭취,2주 1회섭취,월 1회섭취,월 1회 미만섭취,휴가사용,휴가미사용,1시간미만사용,1~2시간사용,2~3시간사용,3~4시간사용,4시간이상사용
0,20대,2018,26.9,43633,56653,41582,44739,16384,92973,22902,80271,1.8,27.9,43.6,24.0,2.7,0.0,74.7,25.3,2.9,29.4,42.1,18.2,7.4
1,30대,2018,37.8,119376,141871,121642,146141,48348,192577,87378,101494,3.2,37.9,39.0,18.0,1.7,0.3,81.9,18.1,7.0,44.0,38.0,7.9,3.2
2,40대,2018,36.8,340865,542580,539663,487787,271676,722151,332581,493060,1.9,33.2,47.5,14.9,2.2,0.3,80.6,19.4,10.1,56.1,26.3,5.9,1.6
3,50대,2018,35.2,239059,491120,469384,374873,246417,522058,299776,210865,2.2,27.4,47.5,17.8,4.5,0.6,71.0,29.0,23.3,56.5,15.6,4.2,0.5
4,60대 이상,2018,37.4,587050,1227657,971704,717320,654960,878710,775031,188582,0.5,18.6,39.1,28.5,11.4,1.9,53.4,46.6,56.15,35.2,6.2,1.7,0.85
5,20대,2019,27.6,257568,315873,272924,61091,28185,574620,62374,1052175,1.3,23.4,42.4,25.3,6.2,1.4,63.4,36.6,6.7,33.5,36.9,15.4,7.4
6,30대,2019,34.9,655912,748927,727998,165128,74513,1198954,230564,1297159,1.1,22.3,54.0,16.5,6.0,0.1,70.2,29.8,17.5,40.7,29.3,9.9,2.6
7,40대,2019,35.6,842233,1322289,1347739,577819,381845,1809120,569057,1308793,0.2,28.1,50.7,15.6,4.9,0.6,64.7,35.3,21.7,49.1,22.4,5.7,1.1
8,50대,2019,36.5,867677,1762414,1727808,585075,480817,2045665,718720,939593,0.1,26.7,47.6,18.3,5.8,1.5,57.5,42.5,32.4,42.8,19.6,4.0,1.1
9,60대 이상,2019,35.8,1373709,2863577,2324281,1166669,1147262,2264192,1508789,502475,0.3,15.4,49.0,19.2,13.3,2.7,42.5,57.5,68.25,18.75,7.85,2.8,2.35
10,20대,2020,32.6,253385,310703,274769,59918,28011,562313,64281,980718,0.0,18.7,43.3,30.1,6.2,1.7,47.5,52.5,0.8,16.2,34.3,24.7,24.0
11,30대,2020,41.6,615266,682712,681350,149463,70060,1093875,218713,1109765,0.1,19.1,54.7,22.3,3.5,0.3,60.7,39.3,1.6,28.9,40.7,16.5,12.3
12,40대,2020,39.0,774049,1170350,1217414,515028,337228,1568914,527419,1058122,0.0,25.8,48.8,19.6,5.3,0.6,56.0,44.0,3.0,42.0,36.0,12.1,6.9
13,50대,2020,40.2,807713,1629626,1615632,578518,473334,1831935,705877,791333,0.0,20.6,51.0,22.6,4.3,1.6,45.4,54.6,7.2,55.8,24.4,7.9,4.7
14,60대 이상,2020,38.2,1278593,2676201,2230093,1136939,1110664,2044914,1463068,426161,0.1,12.9,45.2,29.3,9.7,2.9,32.2,67.8,15.8,60.2,15.15,4.95,3.95
