년도,나이대,유형,분율
2018,20대,매일 소비,1.8
2018,20대,주 2~3회 소비,27.9
2018,20대,주 1회 소비,43.6
2018,20대,2주 1회 소비,24
2018,20대,월 1회 소비,2.7
2018,20대,월 1회 미만 소비,0
2018,30대,매일 소비,3.2
2018,30대,주 2~3회 소비,37.9
2018,30대,주 1회 소비,39
2018,30대,2주 1회 소비,18
2018,30대,월 1회 소비,1.7
2018,30대,월 1회 미만 소비,0.3
2018,40대,매일 소비,1.9
2018,40대,주 2~3회 소비,33.2
2018,40대,주 1회 소비,47.5
2018,40대,2주 1회 소비,14.9
2018,40대,월 1회 소비,2.2
2018,40대,월 1회 미만 소비,0.3
2018,50대,매일 소비,2.2
2018,50대,주 2~3회 소비,27.4
2018,50대,주 1회 소비,47.5
2018,50대,2주 1회 소비,17.8
2018,50대,월 1회 소비,4.5
2018,50대,월 1회 미만 소비,0.6
2018,60대 이상,매일 소비,0.5
2018,60대 이상,주 2~3회 소비,18.6
2018,60대 이상,주 1회 소비,39.1
2018,60대 이상,2주 1회 소비,28.5
2018,60대 이상,월 1회 소비,11.4
2018,60대 이상,월 1회 미만 소비,1.9
2019,20대,매일 소비,1.3
2019,20대,주 2~3회 소비,23.4
2019,20대,주 1회 소비,42.4
2019,20대,2주 1회 소비,25.3
2019,20대,월 1회 소비,6.2
2019,20대,월 1회 미만 소비,1.4
2019,30대,매일 소비,1.1
2019,30대,주 2~3회 소비,22.3
2019,30대,주 1회 소비,54
2019,30대,2주 1회 소비,16.5
2019,30대,월 1회 소비,6
2019,30대,월 1회 미만 소비,0.1
2019,40대,매일 소비,0.2
2019,40대,주 2~3회 소비,28.1
2019,40대,주 1회 소비,50.7
2019,40대,2주 1회 소비,15.6
2019,40대,월 1회 소비,4.9
2019,40대,월 1회 미만 소비,0.6
2019,50대,매일 소비,0.1
2019,50대,주 2~3회 소비,26.7
2019,50대,주 1회 소비,47.6
2019,50대,2주 1회 소비,18.3
2019,50대,월 1회 소비,5.8
2019,50대,월 1회 미만 소비,1.5
2019,60대 이상,매일 소비,0.3
2019,60대 이상,주 2~3회 소비,15.4
2019,60대 이상,주 1회 소비,49
2019,60대 이상,2주 1회 소비,19.2
2019,60대 이상,월 1회 소비,13.3
2019,60대 이상,월 1회 미만 소비,2.7
2020,20대,매일 소비,0
2020,20대,주 2~3회 소비,18.7
2020,20대,주 1회 소비,43.3
2020,20대,2주 1회 소비,30.1
2020,20대,월 1회 소비,6.2
2020,20대,월 1회 미만 소비,1.7
2020,30대,매일 소비,0.1
2020,30대,주 2~3회 소비,19.1
2020,30대,주 1회 소비,54.7
2020,30대,2주 1회 소비,22.3
2020,30대,월 1회 소비,3.5
2020,30대,월 1회 미만 소비,0.3
2020,40대,매일 소비,0
2020,40대,주 2~3회 소비,25.8
2020,40대,주 1회 소비,48.8
2020,40대,2주 1회 소비,19.6
2020,40대,월 1회 소비,5.3
2020,40대,월 1회 미만 소비,0.6
2020,50대,매일 소비,0
2020,50대,주 2~3회 소비,20.6
2020,50대,주 1회 소비,51
2020,50대,2주 1회 소비,22.6
2020,50대,월 1회 소비,4.3
2020,50대,월 1회 미만 소비,1.6
2020,60대 이상,매일 소비,0.1
2020,60대 이상,주 2~3회 소비,12.9
2020,60대 이상,주 1회 소비,45.2
2020,60대 이상,2주 1회 소비,29.3
2020,60대 이상,월 1회 소비,9.7
2020,60대 이상,월 1회 미만 소비,2.9
