년도,나이대,유형,분율
2018,20대,1시간미만사용,2.9
2018,20대,1~2시간사용,29.4
2018,20대,2~3시간사용,42.1
2018,20대,3~4시간사용,18.2
2018,20대,4시간이상사용,7.4
2018,30대,1시간미만사용,7
2018,30대,1~2시간사용,44
2018,30대,2~3시간사용,38
2018,30대,3~4시간사용,7.9
2018,30대,4시간이상사용,3.2
2018,40대,1시간미만사용,10.1
2018,40대,1~2시간사용,56.1
2018,40대,2~3시간사용,26.3
2018,40대,3~4시간사용,5.9
2018,40대,4시간이상사용,1.6
2018,50대,1시간미만사용,23.3
2018,50대,1~2시간사용,56.5
2018,50대,2~3시간사용,15.6
2018,50대,3~4시간사용,4.2
2018,50대,4시간이상사용,0.5
2018,60대 이상,1시간미만사용,56.15
2018,60대 이상,1~2시간사용,35.2
2018,60대 이상,2~3시간사용,6.2
2018,60대 이상,3~4시간사용,1.7
2018,60대 이상,4시간이상사용,0.85
2019,20대,1시간미만사용,6.7
2019,20대,1~2시간사용,33.5
2019,20대,2~3시간사용,36.9
2019,20대,3~4시간사용,15.4
2019,20대,4시간이상사용,7.4
2019,30대,1시간미만사용,17.5
2019,30대,1~2시간사용,40.7
2019,30대,2~3시간사용,29.3
2019,30대,3~4시간사용,9.9
2019,30대,4시간이상사용,2.6
2019,40대,1시간미만사용,21.7
2019,40대,1~2시간사용,49.1
2019,40대,2~3시간사용,22.4
2019,40대,3~4시간사용,5.7
2019,40대,4시간이상사용,1.1
2019,50대,1시간미만사용,32.4
2019,50대,1~2시간사용,42.8
2019,50대,2~3시간사용,19.6
2019,50대,3~4시간사용,4
2019,50대,4시간이상사용,1.1
2019,60대 이상,1시간미만사용,68.25
2019,60대 이상,1~2시간사용,18.75
2019,60대 이상,2~3시간사용,7.85
2019,60대 이상,3~4시간사용,2.8
2019,60대 이상,4시간이상사용,2.35
2020,20대,1시간미만사용,0.8
2020,20대,1~2시간사용,16.2
2020,20대,2~3시간사용,34.3
2020,20대,3~4시간사용,24.7
2020,20대,4시간이상사용,24
2020,30대,1시간미만사용,1.6
2020,30대,1~2시간사용,28.9
2020,30대,2~3시간사용,40.7
2020,30대,3~4시간사용,16.5
2020,30대,4시간이상사용,12.3
2020,40대,1시간미만사용,3
2020,40대,1~2시간사용,42
2020,40대,2~3시간사용,36
2020,40대,3~4시간사용,12.1
2020,40대,4시간이상사용,6.9
2020,50대,1시간미만사용,7.2
2020,50대,1~2시간사용,55.8
2020,50대,2~3시간사용,24.4
2020,50대,3~4시간사용,7.9
2020,50대,4시간이상사용,4.7
2020,60대 이상,1시간미만사용,15.8
2020,60대 이상,1~2시간사용,60.2
2020,60대 이상,2~3시간사용,15.15
2020,60대 이상,3~4시간사용,4.95
2020,60대 이상,4시간이상사용,3.95
